fsdownload_num,article_id,title,data_citation,data_doi,paper_title,paper_doi,license
113,3453110,Crustal evolution of the South Mayo Trough western Ireland based on U-Pb ages and Hf-O isotopes in detrital zircons,Yin Q.-Z.; Wimpenny J.; Tollstrup D. L.; Mange M.; Dewey J. F.; Zhou Q.; et al. (2016): Crustal evolution of the South Mayo Trough western Ireland based on U–Pb ages and Hf–O isotopes in detrital zircons. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3453110.v1,10.6084/m9.figshare.3453110.v1,Crustal evolution of the South Mayo Trough western Ireland based on U–Pb ages and Hf–O isotopes in detrital zircons,10.1144/jgs2011-164,CC BY 4.0
114,4829233,Table S2. Unravelling an allochthonous subaqueously deposited volcanic-epiclastic to subaerial andesitic lava assemblage in Hong Kong: age stratigraphy and provenance studies of the Middle Jurassic Tuen Mun Formation,Sewell R. J.; So K. W. F.; Tang D. L. K.; Carter A. (2017): Table S2. Unravelling an allochthonous subaqueously deposited volcanic–epiclastic to subaerial andesitic lava assemblage in Hong Kong: age stratigraphy and provenance studies of the Middle Jurassic Tuen Mun Formation. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4829233.v1,10.6084/m9.figshare.4829233.v1,,,CC BY 4.0
115,6087020,Petrology and crustal inheritance of the Cloudy Bay Volcanics as derived from a fluvial conglomerate Papuan Peninsula (Papua New Guinea): An example of geological inquiry in the absence of in situ outcrop,Petrology and crustal inheritance of the Cloudy Bay Volcanics as derived from a fluvial conglomerate Papuan Peninsula (Papua New Guinea): An example of geological inquiry in the absence of <i>in situ</i> outcrop. Taylor & Francis. Holm Robert J.; Poke Benny.,10.6084/m9.figshare.6087020.v1,Petrology and crustal inheritance of the Cloudy Bay Volcanics as derived from a fluvial conglomerate Papuan Peninsula (Papua New Guinea): An example of geological inquiry in the absence of <i>in situ</i> outcrop,10.1080/23312041.2018.1450198,CC BY 4.0
116,7750853,Late Ordovician to early Silurian calc-alkaline magmatism in the Xiemisitai Mountains northern West Junggar: a response to the subduction of the Junggar-Balkhash Ocean,Late Ordovician to early Silurian calc-alkaline magmatism in the Xiemisitai Mountains northern West Junggar: a response to the subduction of the Junggar-Balkhash Ocean. Taylor & Francis. Chen Jia-Fu; Ma Xu; Simon Abijah; Du Hou-Yuan; Han Bao-Fu; Liu Jun-Lai; et al..,10.6084/m9.figshare.7750853.v1,Late Ordovician to early Silurian calc-alkaline magmatism in the Xiemisitai Mountains northern West Junggar: a response to the subduction of the Junggar-Balkhash Ocean,10.1080/00206814.2019.1576148,CC BY 4.0
117,13490597,Paleoproterozoic to Cenozoic zircon U-Pb ages with Hf signatures from metamorphic rocks and granodiorite of Tokunoshima: constraints on the geotectonic subdivision of the Ryukyu island arc Southwest Japan,Paleoproterozoic to Cenozoic zircon U–Pb ages with Hf signatures from metamorphic rocks and granodiorite of Tokunoshima: constraints on the geotectonic subdivision of the Ryukyu island arc Southwest Japan. Taylor & Francis. Yamamoto Hiroshi; Okamoto Kazuaki; Chung Sun-Lin; Lee Hao-Yang; Mita Yuji; Ueda Shuro; et al..,10.6084/m9.figshare.13490597.v1,Paleoproterozoic to Cenozoic zircon U–Pb ages with Hf signatures from metamorphic rocks and granodiorite of Tokunoshima: constraints on the geotectonic subdivision of the Ryukyu island arc Southwest Japan,10.1080/00206814.2020.1858356,CC BY 4.0
119,9981410,Zircon U-Pb geochronology and geochemistry of Late Devonian-Carboniferous granitoids in NW Iran: implications for the opening of Paleo-Tethys,Zircon U-Pb geochronology and geochemistry of Late Devonian–Carboniferous granitoids in NW Iran: implications for the opening of Paleo-Tethys. Taylor & Francis. Mohammadi Ali; Moazzen Mohssen; Lechmann Anna; Laurent Oscar.,10.6084/m9.figshare.9981410.v1,Zircon U-Pb geochronology and geochemistry of Late Devonian–Carboniferous granitoids in NW Iran: implications for the opening of Paleo-Tethys,10.1080/00206814.2019.1675540,CC BY 4.0
122,10072379,Petrogenesis of post-collisional magmatism at the Carboniferous-Permian boundary in central Inner Mongolia NE China: insights into when the Hegenshan Ocean closed?,Petrogenesis of post-collisional magmatism at the Carboniferous–Permian boundary in central Inner Mongolia NE China: insights into when the Hegenshan Ocean closed?. Taylor & Francis. Lu Lu; Qin Yong; Zhang Kai-Jun; Han Chun-Yuan; Li Zhuang-Fu; Wei Tao; et al..,10.6084/m9.figshare.10072379.v1,Petrogenesis of post-collisional magmatism at the Carboniferous–Permian boundary in central Inner Mongolia NE China: insights into when the Hegenshan Ocean closed?,10.1080/00206814.2019.1683767,CC BY 4.0
124,12542927,Supplemental Material: Petrological geochronological and geochemical potential accounting for continental subduction and exhumation: A case study of felsic granulites from South Altyn Tagh northwestern China,Li Y.; al. et (2020): Supplemental Material: Petrological geochronological and geochemical potential accounting for continental subduction and exhumation: A case study of felsic granulites from South Altyn Tagh northwestern China. Geological Society of America. Journal contribution. https://doi.org/10.1130/2020188,10.1130/2020188,Petrological geochronological and geochemical potential accounting for continental subduction and exhumation: A case study of felsic granulites from South Altyn Tagh northwestern China,10.1130/B35459.1,CC BY-NC 4.0
125,12501830,Supplemental Material: Internal versus external locations of the South China Craton within Rodinia during the Cryogenian: Provenance history of the Nanhua Basin,Zhu Guangyou; Liu Huichuan (2020): Supplemental Material: Internal versus external locations of the South China Craton within Rodinia during the Cryogenian: Provenance history of the Nanhua Basin. Geological Society of America. Journal contribution. https://doi.org/10.1130/GSAB.S.12501830,10.1130/GSAB.S.12501830,Internal versus external locations of the South China Craton within Rodinia during the Cryogenian: Provenance history of the Nanhua Basin,10.1130/B35619.1,CC BY-NC 4.0
126,12678926,Supplemental Material: Rapid eruption of silicic magmas from the Parana magmatic province (Brazil) did not trigger the Valanginian event,Rocha B.C.; al. et (2020): Supplemental Material: Rapid eruption of silicic magmas from the Paraná magmatic province (Brazil) did not trigger the Valanginian event. Geological Society of America. Journal contribution. https://doi.org/10.1130/GEOL.S.12678926.v1,10.1130/GEOL.S.12678926.v1,Rapid eruption of silicic magmas from the Paraná magmatic province (Brazil) did not trigger the Valanginian event,10.1130/G47766.1,CC BY 4.0
